slug,track,category,series,chapter,locale,status
lecture-civil-law-01,academy,Academy,민법총칙,1,ko,published
lecture-civil-law-02,academy,Academy,민법총칙,2,ko,published
lecture-civil-law-03,academy,Academy,민법총칙,3,ko,published
lecture-civil-law-04,academy,Academy,민법총칙,4,ko,published
lecture-civil-law-05,academy,Academy,민법총칙,5,ko,published
ai-leadership-1-1,academy,AI 리더십,ai-leadership,3,ko,published
ai-leadership-1-2,academy,AI 리더십,ai-leadership,4,ko,published
ai-leadership-1-3,academy,AI 리더십,ai-leadership,5,ko,published
ai-leadership-1-4,academy,AI 리더십,ai-leadership,6,ko,published
ai-leadership-1-5,academy,AI 리더십,ai-leadership,7,ko,published
ai-leadership-1-6,academy,AI 리더십,ai-leadership,8,ko,published
ai-leadership-1-7,academy,AI 리더십,ai-leadership,9,ko,published
ai-leadership-1-8,academy,AI 리더십,ai-leadership,10,ko,published
ai-leadership-2-1,academy,AI 리더십,ai-leadership,11,ko,published
ai-leadership-2-2,academy,AI 리더십,ai-leadership,12,ko,published
ai-leadership-2-3,academy,AI 리더십,ai-leadership,13,ko,published
ai-leadership-3-1,academy,AI 리더십,ai-leadership,14,ko,published
ai-leadership-3-2,academy,AI 리더십,ai-leadership,15,ko,published
ai-leadership-3-3,academy,AI 리더십,ai-leadership,16,ko,published
ai-leadership-3-4,academy,AI 리더십,ai-leadership,17,ko,published
ai-leadership-3-5,academy,AI 리더십,ai-leadership,18,ko,published
ai-leadership-3-6,academy,AI 리더십,ai-leadership,19,ko,published
ai-leadership-3-7,academy,AI 리더십,ai-leadership,20,ko,published
ai-leadership-4-1,academy,AI 리더십,ai-leadership,21,ko,published
ai-leadership-4-2,academy,AI 리더십,ai-leadership,22,ko,published
ai-leadership-4-3,academy,AI 리더십,ai-leadership,23,ko,published
ai-leadership-4-4,academy,AI 리더십,ai-leadership,24,ko,published
ai-leadership-4-5,academy,AI 리더십,ai-leadership,25,ko,published
ai-leadership-4-6,academy,AI 리더십,ai-leadership,26,ko,published
ai-leadership-intro,academy,AI 리더십,ai-leadership,1,ko,published
ai-leadership-opening,academy,AI 리더십,ai-leadership,2,ko,published
carnegie-attitude-1-1,academy,자기계발,carnegie-attitude,1,ko,published
carnegie-attitude-1-2,academy,자기계발,carnegie-attitude,2,ko,published
carnegie-attitude-1-3,academy,자기계발,carnegie-attitude,3,ko,published
carnegie-attitude-1-4,academy,자기계발,carnegie-attitude,4,ko,published
carnegie-attitude-2-1,academy,자기계발,carnegie-attitude,5,ko,published
carnegie-attitude-2-2,academy,자기계발,carnegie-attitude,6,ko,published
carnegie-attitude-2-3,academy,자기계발,carnegie-attitude,7,ko,published
